,sentence,label
1385,친척 조카가 얼마 전에 하늘나라로 갔어. 아직 너무 어린 아기였는데.,0
28864,상사가 너무 날 힘들게 해.,3
44337,내가 아내 몰래 대출받아서 투자했다가 손실 봐서 정말 미안하게 생각하고 있어.,1
41833,나라를 절단 내자고 덤비네!!,3
21128,세븐틴 만세만세만만세!!!,2
28146,내 룸메이트는 음식물 쓰레기를 한 번도 안 버렸어. 냄새나고 지저분해서 싫다는데 그건 나도 마찬가지야. 이제 정말 짜증 나.,3
25931,가족과 친구분들과 행복한 크리스마스 보내세요^^:,2
22530,연기 완전 잘해ㅠㅠ!!,2
12768,예전처럼연예하기가힘드네요!!,0
52658,좌좀 손서키야 그게 어때서??,1
7885,오늘 병원에 갔는데 암이래. 내가 돈을 벌지 못하게 되면 이제 우리 가족은 어떡하지?,0
52801,물어줘야하나영 엉엉0,1
7085,옆구리가 시리다는 말이 무슨 말인지 이 나이에야 알았으니 나도 참 한심하지.,0
30732,나이가 드니 이곳저곳 아프고 만성질환이 많아져서 참 고달파.,3
43294,친구랑 대화만 하면 열등감을 느껴서 속상해.,1
10744,너무 어렵게 설명해논거같아서이해가 잘안되네요 ㅠㅠ,0
41322,뭔 개소리야 저 사라센 생퀴들은,3
14339,헤어지고 마음이 깨지는 느낌이지만..,0
12146,음료수랑 쪽지 써서 드렸는데 연락 안오네요....,0
9883,누나가 다치면 누나도 아프고 팬들도 맘아파요ㅜㅜ,0
37187,"중국폰, 중국 자동차들 수입해서 자국민 가지고 노는 쓰레기 기업 싹 부도나라!!!오죽하면 헬조선이라하겠는가!!!",3
17080,회계 관련 일을 하는 며느리에게 노후 자금을 맡기기로 했어.,2
40965,ㅡ종신형ㅡ아니면 이나라 법도 썩은 거다.ㅡ,3
8346,언니가 나보다 공부를 더 잘하니까 부모님이 매일 나와 언니를 비교하셔서 서러워.,0
5724,오 년 사귄 남자친구가 프러포즈했어. 그런데 나는 결혼에 대해서 자꾸 부정적인 생각만 들어.,0
7650,아내가 몸이 안 좋아서 내가 돌보고 있어. 그동안 아픈지도 몰랐던 게 너무 한심하고 슬퍼.,0
36567,건강이 안 좋아져서 일상생활에도 지장이 생긴 이런 나를 인정하기 힘들어.,3
50147,의사 선생님께서 살날이 얼마 안 남았다고 말씀하셨어. 예상은 했지만 충격적이야.,1
7996,몸이 아프니까 일할 수 있는 곳도 없네.,0
34716,내가 잘못한 거 같아 괴로워.,3
37482,외국순방 뱅기 최괴물 모르게 실어 두괴물 위아래 침맞았지머했겠어,3
18754,지금 여자친구랑 연애하길 잘한 거 같아.,2
57050,장수풍뎅이 애벌레 똥으로 만든 흙도 섞었는데 싹이 날까..0,1
15318,다음 주 회의까지 아직 시간적 여유가 있는데 상사가 오늘 중으로 계획서를 작성하라고 해.,2
23965,대통령 개잘뽑앗네 ㄷㄷㄷ,2
29205,짜증나. 직장 상사가 나한테만 일을 더 주는 느낌이야.,3
43395,아이들을 성적 대상으로 생각하는 사람들이 있다니 너무 혐오스러워.,1
13728,아니면 여자친구가 진지하게 저희의 관계를 생각해서 천천히 이겨내려고 이러는걸까요..?,0
28440,즘 회사에서 컴퓨터로 하는 업무가 많아져서 힘들어.,3
27815,어쩜 이렇게 취업 시장이 얼어붙을 수 있지. 이래서 밥 벌어 먹고살 수 있겠냐고.,3
54203,어떻게 해야할지 모르겠어요..,1
11070,요새 강마에한테 빠져서오빠한테 소홀했어..,0
36170,반 친구가 이유 없이 나를 매일 때려. 죽고 싶은 감정이 들어.,3
50346,돈은 버는데 돈이 항상 없어. 그동안 잘못 살아온 것 같아.,1
42312,박근혜머리는 국민의개고생은 생각도안하고울아부지가 잘나셔서 이나라 맹글었다 생각하는 아둔한 아줌마,3
25674,낮이든 밤이든 쪽팔리게,2
30304,의사가 우리 아기를 받다가 그 갓난아기한테 작은 상처를 내서 멱살잡이 할 뻔했어.,3
25741,형 축하하!!,2
12262,이거 마음이 완전이 떠난거겠죠?,0
41728,실종사건도 실종자가 남성이라면 수사배제한다는데 말 다했지,3
14323,나도 이제 마음 접어야겠다.,0
34673,남자는 뭐라 해도 일을 해야 해.,3
38164,국민이더 억울하다 ..쳐닥쳐라,3
10971,입양 생각을 하시는분도 죄송하지만 사양합니다.,0
2795,학교에서 애들이 날 괴롭히는데 자기들이 뭘 잘못했는지 모르는 것 같아서 너무 짜증나.,0
54704,저랑 헤어질땐 화가너무나서그랬던거다,1
31141,쟤는 머리가 원래 좋아서 그런가봐 부럽다.,3
7200,남편이 귀농을 꿈꿔 이사했지만 눈 앞에 펼쳐진 생활은 내게 너무 힘겨워.,0
483,아침에 처가 나보고 계속 건강 검진받으라는 걸 내가 바빠서 시간 없다고 짜증 내버렸네.,0
18558,내가 병이 있는데 딸 덕분에 잘 치료받을 수 있을 거 같아.,2
15136,어제 첫 출근을 했어.,2
48519,돈이라는 게 어찌 보면 모두 가짜 같아.,1
13110,"그럼, 얼마동안 기다릴수 있을까?",0
7508,나는 어릴 적부터 가난했어. 내 인생은 왜 이렇게 안쓰러울까?,0
38187,이런 미심쩍은 사건에 대해서는 반드시 재수사 필요합니다.,3
12558,진짜 남자든 여자든 사람마음 확신하는거 만큼 비참함은 없더라구요,0
35174,친구들과 있으면 나 자신이 너무 작게만 느껴져. 나는 공부도 외모도 다 별로인 것 같아.,3
46074,근무 중 사고를 당해 병원에 있는 친구의 병문안을 갔는데 혼자 있는 모습을 보니 마음이 짠하네.,1
52175,비뇨기과 검진을 받으려고 갔는데 나도 모르게 부끄럽더라.,1
36407,친구는 아픈 나를 걱정해서 한 말인데 내가 자격지심에 괜히 화내서 싸웠어.,3
16805,유통기한이 지난 빵을 먹어버렸지만 큰 문제없이 소화가 잘된 것 같아.,2
51662,고등학교에 오니까 중학교 때보다 수업이 갑자기 어려워서 이해하기 힘들어. 당황스러워.,1
26172,여러분 다들 아형 본방사수합시다,2
9488,어제친 토익 망했네,0
15314,얼마 전 최종 면접을 보고 왔는데 오늘 합격 발표가 나왔어. 다음 주부터 출근이라 너무 기뻐.,2
42999,나는 모성애가 별로 없는 것 같아.,1
33511,학교에서 따돌림을 당하고 있는데 너무 슬퍼.,3
57535,다름이 아니고 제가 엽산을 먹고 있는데요,1
1066,최근 코로나 영향으로 취업 자리가 많이 줄어서 너무 힘들어.,0
13030,그사람은 나한테 마음없다는거 알겠으니까,0
53136,김재환이 왜 없음??,1
55084,학점은 좋은편인데아니면 그냥 방통대 유교과나와서 유치원다녀서 임용고시 준비하는게 나을까요..,1
27206,내가 이번에 드디어 승진하게 됐어.,2
56947,어떻게 말하는게..,1
42843,직장 생활을 하다 보니 부당한 것도 상사의 눈치를 보며 참아야 해.,1
33688,나도 모자 하나 사고 싶었는데 엄마가 오빠만 사줘서 너무 화나.,3
46883,함께 등산하던 친구와 같은 자리에서 넘어졌는데 나만 골절돼서 병원에 입원하니까 얄미워.,1
41539,아무리 친구라지만 여자친구가 있는 상태에서 다른 여자랑 단둘이 데이트 하고 알고보니 여자는 얼마전까지 제 남자친구를 좋아했다네요.,3
1964,나 취업이 잘 안 돼서 너무 슬퍼. 지원은 많이 하는데 다 중도에 탈락해.,0
41429,오로지 늬년놈들 jot대로 해야만 하게.,3
55806,촛불꺼질려고하니 pc하나또띄워 살려보려고 애쓴다,1
11120,그냥 궁금해서 기분나빴다면 미안ㅠㅠㅠㅠㅠ,0
10390,제가다이어트 4일짼데 떡볶이가너무너무먹고싶은데ㅜ,0
14381,그러면서도 한편으론 내 자신이 참 초라해보이더라...,0
21338,이참에 화성산업 주식이나 사볼까?ㅎㅎ,2
14354,제생각같은건 나지도않겠죠,0
18536,자녀들이 준 용돈을 항상 저축한 덕에 한동안 병원비 걱정은 하지 않아도 돼서 기뻐.,2
56689,조금 뛰는것도 유산되나요 ?,1
39161,너그들도 을의 입장에서 당해봐라,3
23904,집밥 백선생 감사이 잘 보고 있습니다,2
15299,딸이 취직했어. 정말 기뻐.,2
12772,비를 쫄딱 맞고 왔음.,0
29527,직장 상사에게 매일 혼나고 있어.,3
8776,건강검진을 받았는데 간염이라는 소리를 듣고 너무 불행하다고 생각했어.,0
37583,우리가 돈이 없지 주권이 없냐?,3
30091,진짜 짜증나 우리 엄마아빠는 너무 싸워. 볼 때마다 화나.,3
47838,지금까지 엉뚱한 방향으로 취업 준비를 해온 내가 한심해.,1
10340,전 여자친구에게 큰 상처를 받았고.,0
25670,맹구도 리그 수준에 맞게 뛰었슴제자리를찾아 기쁨니다,2
4680,아내와 내가 싸우면 꼭 처남이 끼어들어.,0
30208,내가 이전만큼 돈이 없다는 걸 알고 사람들이 날 불쌍하게 바라봐서 화가 나.,3
51795,병 때문에 딸에게 가게를 물려주고 은퇴하려고 했는데 딸이 싫다고 하니 당황스럽네.,1
27829,반 애들이 나만 따돌려서 너무 화가 나.,3
48396,나 요즘 쓸쓸한 거 같아.,1
18551,당뇨로 약을 계속 먹어야 하는데 약값은 걱정하지 않아도 된다고 해서 마음이 놓여.,2
32967,아들이 사춘기라서 맨날 나한테 짜증을 내서 힘들어.,3
15469,나는 이제 우리 막내가 하는 일에 대해서 걱정하지 않아.,2
7148,요즘 헛웃음만 나.,0
16920,드디어 내 분야에서 최고의 전문가로 많은 사람들에게 인정받게 됐어.,2
50042,자식들 말을 듣고 보증을 서지 말았어야 했어. 이제 어떡하면 좋을까?,1
5311,찜질방에 갔는데 전날 사우나를 하던 노인이 사망했단 얘길 듣고 가족들이 불편해 했어.,0
38248,저거 관계자들 잡아다가 책임을 물어야된다.,3
32116,아빠 입에서 담배 냄새랑 입 냄새가 심하게 나서 대화를 못하겠어.,3
54270,보내면 뭐라 보내?ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
11954,열심히 살면 밥은 굶지 않겠지만 개천의 용은 없다,0
48240,이번 테스트의 성적이 무척 안 좋아 내가 공부를 너무 안 했어.,1
373,친구가 정말 괜찮은 사람이라며 소개를 주선했어. 그런데 직접 만나보니 대화도 안 통하고 외모도 마음에 들지 않아.,0
38260,처음엔 많이 실망하고 탄핵해야한다 생각했지만 지금은 치밀한 계획하고 탄핵시킬려고 한고 같다,3
11227,유라 피부도 하얀데 핑쿠에 하얀패딩 입으니 더 애기애기하고 존예ㅠ,0
5625,제일 친한 친구에게 내가 받은 상처를 털어놨는데 그걸 다른 사람에게 말해버렸어.,0
30466,고혈압 때문에 싱겁게 먹어야 하는데 음식이 다 맛이 없고 먹기 싫어.,3
20561,매번 좋은 정보 감사합니다.,2
9609,어제의 함성은 박근혜와 새누리당만을 향한 함성이 아니다.,0
229,나는 너무 소심해서 싫은 소리를 조금만 들어도 자꾸 주눅이 들어 우울해.,0
25087,헤헤헤.........이번에 꿀연휴 잖아요 ㅋㅋ,2
12739,저 너무 슬퍼요~~,0
57552,임신전에 먹을려구하는데요..,1
37006,이러니 범죄자들이 판치지,3
41141,촛불에 의한 인민재판을 규탄한다,3
53285,지우게하고싶은데어찌해여하죠 ㅎㅎ,1
33595,엄마가 강아지 똥을 치우라는데 힘들어서 잘 못 하겠어.,3
42248,박사모 모지리들 얼굴 공개해서 사회에서 매장시킵시다,3
42597,내 친구가 이번에 나보다 먼저 회사에 취직했어. 학교 다닐 때 내가 공부도 더 잘했는데 열등감이 느껴져.,1
1614,어제 업무 처리를 했는데 잘못 오더를 내려서 큰일이야.,0
32600,건강했던 강아지가 동물병원의 오진으로 죽었어. 너무 화가 나.,3
57600,팬티로 갈아줘야 하는건지 고민이네요..,1
43498,우리 반에서 친구가 극단적인 선택을 했어. 보고만 있던 나 때문인 것 같아서 죄책감이 들어.,1
48689,오늘 낮 일터에서 생긴 일로 아직 기분이 풀리지 않아.,1
31662,직원들이 내 조언을 받아들이지 않아서 무능력한 사람이 된 것만 같아.,3
16988,버스를 타고 집으로 돌아가는 길이었는데 한 청년이 자리를 양보해줘서 기뻤고 고마웠어.,2
24295,"판사님 화이팅,",2
16300,생각해보면 감사한 일이 참 많아.,2
54757,편의점 알바하는데요..,1
30968,팀장이 나한테만 일을 몰아주는 것 같아서 화가 나.,3
6732,최근 들어서 유명인들의 부고를 자주 접하게 되더군.,0
38740,극혐이다 진짜 광복절에 뭐하는 짓이냐ㅡ,3
20096,모아 둔 돈도 있고 자녀들도 매월 지원해 주니까 나에게 손주들 선물해 주는 게 큰 낙이야.,2
22751,?.....역시 황교안 최고!!!!!!!♥♥♥,2
2024,너무 힘들어. 사람들한테 너무 환멸을 느껴.,0
52434,자제할수있는 방법 뭐 없을까요??,1
47908,집에 있으면 외로워서 나도 동생이 있었으면 좋겠어.,1
6923,집사람이 아프면넘 힘들거 같아,0
19326,이번에 하던 일을 은퇴하고 퇴직금을 받았어. 생각보다 큰 금액이라 너무 신나.,2
54823,밀가루 음식 먹어도 괜찮을까요?,1
783,나 혼자 대인관계에 너무 쩔쩔매고 있었던 시간이 후회돼.,0
26861,노년의 연애가 나를 더욱 건강하게 만드는 것 같아서 기뻐.,2
51763,명절인데 자식 중 아무도 오지 않아서 너무 당황스러워.,1
50031,대학을 졸업하고 대학원을 안 간 게 너무 후회돼서 다시 대학원을 알아보고 있어.,1
51499,열심히했다고 생각했는데 생각만큼 성적이 안 오르니까 혼란스러워.,1
7321,내가 잘난 척을 엄청나게 한다고 친구가 뒷말을 하는 걸 들었어. 너무 억울해.,0
46240,퇴원을 앞두고 공공임대 주택을 신청하려고 해. 그런데 병원에는 물어볼 사람이 없어.,1
42742,남자 친구가 사람이 많은 길에서 프로포즈를 해서 많이 부끄러웠어.,1
36480,먹고사는 것은 항상 빠듯하고 나이가 들어가니 하는 일도 힘에 부치고 어쩌면 좋을까?,3
43910,너무 화가 나서 부하직원에게 소리쳤는데 죄책감이 들어.,1
48353,반 친구들이 내가 명품이 없다고 무시해.,1
32280,내가 생일 선물로 갖고 싶어 했던 물건을 누나가 선물해줬어.,3
15369,남자친구가 가방을 사줘서 신나. 연애는 좋은 거야.,2
11470,남들은 사람들과 어울리고 대화하는것이 너무쉬운것같은,0
7876,신체장애를 가진 뒤 자존감은 떨어지고 나이 드는 게 무서워. 이렇게 사는 게 너무 억울해.,0
4111,젊었을 때 돈을 많이 모아둘걸 그랬어. 너무 후회된다.,0
32135,친구가 집 앞에 슈퍼를 갈 때도 나를 자꾸 데려가서 짜증나.,3
25182,아저씨 아프다고 방송 쉬실 때 편지를 썼었는데요.,2
50420,늙었다고 일을 안 시켜주니까 생활비가 모자라.,1
30894,난 알코올 중독을 앓고 있어. 그런데도 친구들은 나에게 술을 권해서 이따금 화가 나.,3
5934,동서가 서방님 병문안 갈 때마다 병원비 좀 보태 달라고 해.,0
15122,나 결혼하기 정말 잘한 것 같아. 행복하고 마음이 편안해.,2
26909,은퇴 후에 귀농하려고 땅을 좀 구입했어. 너무 기뻐.,2
28409,결혼을 하고 싶은데 나는 소개팅이 매번 성사가 잘 안 돼서 힘이 들어.,3
35631,요즘 남편이랑 사이가 너무 안 좋아 이혼해야 하나 고민이 되네.,3
8609,요즘 진로에 대해 고민이 많은데 부모님이 너무 나에게 무관심하셔서 슬퍼.,0
11897,살아가는데 의미없다...,0
30593,군대 후임이 자기 할 일만 끝나면 편하게 누워서 쉬고 있네.,3
16123,요즘 남편을 대할 때 더 편안해진 느낌이야.,2
31951,다 큰 아들이 장가를 갔는데 아직도 며느리와 다투면 꼭 우리 집으로 와서 짜증 나.,3
41788,메갈이 넘쳐나는구나,3
16190,나는 사람들과 어렵게 않게 친해지는 것 같아.,2
40501,섬성전자 ~~~ 정신 바짝 차려라 노트4 충전기선 피복벗겨지며 택도없이 수명단축될때 내리막 걷겠구나 싶더라,3
10253,굉장히고민입니다..,0
5677,결혼 생활이 생각보다 만족스럽지 않아.,0
41855,대체 국민이 낸 환경세는 어디에다 쓴것인가?,3
3593,아빠가 대학을 안 갈 거면 그냥 시집이나 가라했어.,0
2945,나이가 드니까 병원이 멀면 건강검진 받으러 가는 것도 힘드네. 나이 들어서 슬프다.,0
14775,드디어 내가 응원하던 커플이 결혼까지 골인했다!,2
29956,엄마가 오늘 숙제 검사한다고 했는데 아직 못 끝냈어. 어떻게 하지.,3
16031,나 드디어 재취업했어!,2
35256,성인이 되면 조울증이 사라질 줄 알았는데 점점 심해져서 지긋지긋해. 벗어나고 싶어.,3
31153,정말 짜증 나. 왜 남의 주차장 앞에 주차를 하는지 모르겠네.,3
9760,차단당하고..한번은.. 집앞에 가겠다는 말에..,0
46528,내 제자가 사고로 세상을 떠났대. 너무 슬퍼.,1
31076,아들이 내가 앞 뒤가 막혀서 애기가 안 통한다고 해. 정말 화가 나.,3
48788,요즘에 부쩍 직장 동료들 사이에 따돌림을 당하는 느낌이 들어.,1
6659,나는 돈이 없어서 남의 물건을 소개만 하지.,0
30687,노약자석에 앉아있던 젊은이에게 자리 좀 비켜달라고 했는데 들은 척도 하지 않았어.,3
41793,돈만 밝히니 망하지 블리자드의 게임철학 좀 배워라 규제 탓은,3
14891,나는 재무 설계 서비스를 받은 후로 든든한 마음이 들어.,2
8779,내 친구들 중에 대부분이 취업과 함께 부모에게서 독립을 했다는데 혼란스러워.,0
41487,청와대하고도 변호인끼리 내통하고 있을껀데??,3
23479,와이지 젝키 컴백시켜주셔서 감사합니다..,2
29773,부모님이 자꾸 공무원이 되라고 성화셔.,3
16355,나 원하는 회사에 취직했어.,2
46939,어떤 아가씨가 내가 노궁 하다고 나를 만만하게 보았어.,1
57855,뭘해줘야할지 몰겟어요!!,1
9187,미래를 본다면 제가 훨씬 나을수도 있지만 현재로썬 정말 힘드네요..,0
2775,남편의 암이 나을 거라는 생각이 들지 않아.,0
18876,퇴직 후에 만날 친구가 없다니 참 걱정이야.,2
11069,저는 현재 남자친구도 있는데이럴때마다 남자친구한테 너무 미안해요,0
5463,내 얼굴은 왜 이 모양일까? 부모님의 못난 점만 닮은 것 같아.,0
41969,분명 연대에 장기호랑 같은 학번 같은 과인 사람들이 있을 텐데 어쩜 한 명도 증언을 안 하나. ㅉㅉ,3
14180,그래서 어깨를 넓히면 그런게 조금이나마 카바가 될까요??0,0
50015,자식들이 내 말을 너무 안 들어.,1
52085,매일 옷 어떻게 입고 가야 할지 걱정이야.,1
11666,정말 많이 울었을겁니다.,0
22335,완전부담스러웠을텐데 연기도너무잘하고 너무너무이뻐요 완전기대됩니당,2
40124,박ㅈ근혜년 죽인다고.,3
47500,친구랑 놀려고 새벽에 나가다가 집 앞에서 아빠와 마주쳤어. 내 눈이 휘둥그레졌어.,1
51772,급한 일이 생겼는데 평소 친한 사람들이 연락이 안 돼서 도움을 요청할 곳이 없어 당황스러워.,1
20129,엄마가 아끼는 화분을 떨어뜨렸는데 가까스로 붙잡았어. 안 깨서 다행이야.,2
40130,남의 나라 뺏기를 우습게 알던 놈들이 ...,3
47748,건강을 챙기려고 운동도 하고 그것도 모자라서 건강 즙을 시켰는데 너무 깜짝 놀랐어.,1
52209,친구가 택시 타다 죽었어. 다 내 책임이야.,1
45505,남자친구 몰래 클럽에 간 적 있는데 남자친구한테는 간적 없다고 거짓말했어.,1
50010,천식이 나아지지를 않아. 기침하다가 죽을지도 모르겠어.,1
43392,요즘 힘들다.,1
33182,남자친구가 연락이 없어. 벌써 두 시간 째야.,3
43296,회사에 청첩장을 돌렸는데 상황이 애매해져서 당황스러워.,1
26147,조인성형님 멋있오...더킹 대박...,2
38289,이래서 좌파는 쓰레기다,3
53513,어떻게 하는게 좋은지 알려주세여 ㅠㅠ,1
12447,보니 진짜...하......딱히 표출할데도 없어서 글 끄적여봐요 ㅠ,0
54054,저 어떻게 해야되요 ....,1
28737,학과 동기가 내 흉을 보고 다닌대. 사람들이 나만 보면 수군대는데 못 참겠어.,3
50495,십 년 만에 본 딸이 손녀를 놔두고 아침에 떠났네. 무슨 말이라도 해주지.,1
7439,오랫동안 비만이었는데 다이어트 후 요요 현상이 왔어. 속상해.,0
10593,군인들은 뭘 사가야 좋아할까요ㅠㅠ,0
13350,저건 취업 한 사람들 문제고..취업 못해서 연애조차 못하는 청년들도 널렸다..,0
4216,내가 그런 사기에 넘어가다니 멍청했어. 노후 자금이 몽땅 날아갔어.,0
6245,내가 가고 싶었던 대학에 붙지 못해서 너무 슬퍼.,0
14427,동업하는 친구가 내게 부탁한 일이 있는데 거의 다 해서 느긋하게 마무리하는 중이야.,2
47524,난 나름 건강에 신경 쓰고 사는 것 같은데 검사 결과가 좋지 않아.,1
37818,예산을 언놈 사리사욕 채우는데 썼겠지~,3
51268,열심히 일은 하는데 소득은 적어서 힘들어.,1
15259,내일이면 작년에 낳은 아기의 돌잔치야. 벌써 시간이 이렇게 지났다니 정말 흥분돼.,2
42449,그리고 이런 불법적인 행위들을 얼마나 태연하고 일상적으로 아무렇지 않게 해왔으면..,3
51180,빌딩 청소를 하는데 쉴 수 있는 공간이 화장실 창고뿐이야. 내가 사람인가 싶어.,1
44106,나는 너무 남의 시선을 의식하는 것 같아.,1
15226,요즘 코로나로 인해 취업 시장이 얼어붙었다는 이야기들을 많이 하는데 나는 그렇게까지 걱정이 되지는 않더라.,2
50055,나이가 들수록 날 찾는 곳도 없고 돈도 없으니 내 주위에 사람이 없어. 내 잘못일 거야.,1
52879,거의 매주 제작진 방송에 나오고 멤버들이랑 투닥거려서 진짜 우애 쩔고 친한줄 알았네,1
21258,ㅎㅎ 슬슬 생길 때 됐지,2
19244,오랜만에 온 가족이 같이 저녁 먹으러 밖에 나갔어.,2
43431,남자친구랑 결혼 생각 중이었는데 모아둔 게 얼마 없다는 거야. 부모님 도움받겠다는 소리에 한심하더라.,1
52083,학교 수업에 못 따라가서 과외까지 받은 건데 이런 불상사가 일어나다니.,1
33958,일진이 나한테 정말 역겨운 일을 시켰어.,3
44350,그녀가 나를 쳐다보니 정말 부끄럽네.,1
40112,근데 몰라 어서나가서 가족들봐야되거든...당신들 이거 책임질수있어?,3
3896,우리 회사가 구조조정에 들어갔는데 곧 있을 인력 감축 대상자에 내가 있는 것 같아서 막막한 심경이야.,0
3787,이번에 이직한 회사에서 사람들이 텃세를 부려. 적응을 못 하겠어.,0
12219,그것마저 못나오는것은 아닌지.. 걱정되네요!,0
57119,그냥 평범하게 선물 사서 주기는 싫고..,1
39944,오전엔 미세먼지 없었다가도 시간이 지나면 지날수록 다시 쌓이고 있다.,3
48269,친구들은 다 인문계 고등학교를 진학하는데 나만 특성화 고등학교로 진학하니 뭔가 쓸쓸한 느낌이야.,1
52924,인터넷 신문 보나 종이 신문보나 인터넷 쪽이 환경이라던가 가성비라던가 더 이득인데....,1
8429,막상 결혼하고 나니 앞으로 어떻게 먹고살지 불안해.,0
854,주변 친구들은 연애하면서 잘 지내는 것 같아. 나만 이렇게 힘들게 사는 것 같아서 힘들어.,0
10070,사귄지 2주정도됬는데 손도아직 안잡았구 아무런 스킨쉽이 없는 사인데 오빠는 가만히 운전하고 저도 가만히 앉아서 앞만보고 가니 너무 어색하더라구요,0
56538,여성분들 헤어지고 나서 올차단하시고 연락기다리시는 분 혹시 있으신가요...?,1
4472,나는 사람하고의 관계가 귀찮아. 다 부질없는 것 같아.,0
37665,대구가 37도면 광주도 37도지,3
5093,몸도 건강한데 돈이 없어서 여행을 다닐 수가 없어서 슬퍼.,0
41253,종북 이석기는 감옥에서 영원히 썩게하라!',3
40623,짜증나게 이럴줄알았으면 양산들고 나왔쟎아,3
39935,자기의 생각되로 답변이 안나온다고 무조건 나쁜인간!,3
42679,상사가 일주일 업무를 내일까지 하래. 너무 싫어.,1
39197,지잡대 나온 못생긴 무식한 ㄴ 이 가르치려 들고 꼰대질에 정치판에 기웃거리기까지 진짜 극혐이다,3
55359,피의자를 요구대로 나라를 바로 세우기 위해서 관련자 전원에게 사형을 구형합니다,1
54445,두어달 지나면 강추위 예상ㅠ ㅠㅡㅎㅎ,1
3640,이번 중간고사 성적이 너무 많이 떨어졌어. 시험을 대충 봤던 게 후회돼.,0
49375,뇌종양 수술 후유증으로 냄새를 못 맡아.,1
57134,학생인데 6월까지 10키로 어떻게 뺄수있을까요/?,1
29443,걔가 어떻게 그럴 수 있지? 친구랑 싸웠는데 정말 이해할 수가 없어!,3
56159,앞으로 저에게도 꽃길이 열릴까요?,1
29793,위층 쿵쿵대는 소리 때문에 잠을 잘 수가 없어.,3
28040,아내에게 여행 가자고 했는데 싫다고 하네. 아내 생각해서 그런 건데 서운하고 화도 나.,3
